"time","capacitor.C","capacitor.IC","capacitor.v","inductor.L","inductor.i","resistor.R","resistor.v","resistor.LossPower"
"0.619","0.47148819732072145","10.0","5.933824464221347","0.9199976744117679","5.706041740044222","0.03865993145239214","-0.220595182534598","1.2587253191950905"
"0.62","0.47148819732072145","10.0","5.921715683725399","0.9199976744117679","5.712245073907304","0.03865993145239214","-0.22083500299652103","1.261463658013182"
"0.621","0.47148819732072145","10.0","5.909593761155244","0.9199976744117679","5.718434978883059","0.03865993145239214","-0.22107430429858055","1.2641990346332406"
"0.622","0.47148819732072145","10.0","5.897458725035133","0.9199976744117679","5.724611441285514","0.03865993145239214","-0.22131308591167775","1.2669314237161944"
"0.623","0.47148819732072145","10.0","5.885310603919071","0.9199976744117679","5.730774447460831","0.03865993145239214","-0.22155134730795617","1.2696607999529552"
"0.624","0.47148819732072145","10.0","5.873149426390765","0.9199976744117679","5.736923983787338","0.03865993145239214","-0.2217890879608029","1.2723871380646496"
"0.625","0.47148819732072145","10.0","5.8609752210635655","0.9199976744117679","5.743060036675581","0.03865993145239214","-0.22202630734485063","1.2751104128028616"
"0.626","0.47148819732072145","10.0","5.848788016580408","0.9199976744117679","5.749182592568352","0.03865993145239214","-0.22226300493597861","1.277830598949862"
"0.627","0.47148819732072145","10.0","5.836587841613759","0.9199976744117679","5.755291637940738","0.03865993145239214","-0.22249918021131462","1.2805476713188484"
"0.628","0.47148819732072145","10.0","5.82437471441304","0.9199976744117679","5.761387151571356","0.03865993145239214","-0.22273483235044145","1.2832616013112335"
"0.629","0.47148819732072145","10.0","5.812148671087627","0.9199976744117679","5.767469125455443","0.03865993145239214","-0.22296996104389546","1.2859723662246698"
"0.63","0.47148819732072145","10.0","5.7999097425592065","0.9199976744117679","5.773537547763065","0.03865993145239214","-0.22320456583433232","1.2886799416766708"
"0.631","0.47148819732072145","10.0","5.7876579575864735","0.9199976744117679","5.779592405075698","0.03865993145239214","-0.22343864620299272","1.2913843025952128"
"0.632","0.47148819732072145","10.0","5.775393344956782","0.9199976744117679","5.78563368400688","0.03865993145239214","-0.223672201632357","1.2940854239401434"
"0.633","0.47148819732072145","10.0","5.763115933486094","0.9199976744117679","5.791661371202243","0.03865993145239214","-0.22390523160614617","1.2967832807034083"
"0.634","0.47148819732072145","10.0","5.750825752018909","0.9199976744117679","5.797675453339543","0.03865993145239214","-0.22413773560932324","1.2994778479092817"
"0.635","0.47148819732072145","10.0","5.73852282942822","0.9199976744117679","5.803675917128712","0.03865993145239214","-0.2243697131280951","1.3021691006146032"
"0.636","0.47148819732072145","10.0","5.726207194615428","0.9199976744117679","5.809662749311878","0.03865993145239214","-0.22460116364991325","1.304857013909002"
"0.637","0.47148819732072145","10.0","5.713878876510308","0.9199976744117679","5.815635936663409","0.03865993145239214","-0.22483208666347576","1.3075415629151317"
"0.638","0.47148819732072145","10.0","5.701537904070924","0.9199976744117679","5.821595465989954","0.03865993145239214","-0.22506248165872847","1.3102227227889007"
"0.639","0.47148819732072145","10.0","5.6891843062835825","0.9199976744117679","5.827541324130465","0.03865993145239214","-0.2252923481268663","1.3129004687197001"
"0.64","0.47148819732072145","10.0","5.676818112162773","0.9199976744117679","5.833473497956247","0.03865993145239214","-0.2255216855603347","1.3155747759306344"
"0.641","0.47148819732072145","10.0","5.664439350751095","0.9199976744117679","5.839391974370989","0.03865993145239214","-0.22575049345283124","1.3182456196787533"
"0.642","0.47148819732072145","10.0","5.652048051119206","0.9199976744117679","5.845296740310796","0.03865993145239214","-0.2259787712993066","1.3209129752552757"
"0.643","0.47148819732072145","10.0","5.63964424236576","0.9199976744117679","5.851187782744238","0.03865993145239214","-0.22620651859596658","1.323576817985827"
"0.644","0.47148819732072145","10.0","5.627227953617342","0.9199976744117679","5.857065088672369","0.03865993145239214","-0.22643373484027288","1.3262371232306587"
"0.645","0.47148819732072145","10.0","5.614799214028417","0.9199976744117679","5.862928645128777","0.03865993145239214","-0.22666041953094485","1.3288938663848826"
"0.646","0.47148819732072145","10.0","5.602358052781254","0.9199976744117679","5.868778439179611","0.03865993145239214","-0.22688657216796068","1.3315470228786963"
"0.647","0.47148819732072145","10.0","5.589904499085879","0.9199976744117679","5.8746144579236255","0.03865993145239214","-0.22711219225255916","1.334196568177614"
"0.648","0.47148819732072145","10.0","5.577438582180005","0.9199976744117679","5.88043668849221","0.03865993145239214","-0.22733727928724068","1.3368424777826904"
"0.649","0.47148819732072145","10.0","5.5649603313289795","0.9199976744117679","5.886245118049429","0.03865993145239214","-0.22756183277576877","1.3394847272307493"
"0.65","0.47148819732072145","10.0","5.552469775825709","0.9199976744117679","5.89203973379206","0.03865993145239214","-0.22778585222317185","1.342123292094615"
"0.651","0.47148819732072145","10.0","5.53996694499062","0.9199976744117679","5.8978205229496155","0.03865993145239214","-0.2280093371357437","1.344758147983327"
"0.652","0.47148819732072145","10.0","5.527451868171578","0.9199976744117679","5.903587472784406","0.03865993145239214","-0.2282322870210461","1.3473892705423827"
"0.653","0.47148819732072145","10.0","5.514924574743834","0.9199976744117679","5.909340570591551","0.03865993145239214","-0.22845470138790921","1.3500166354539498"
"0.654","0.47148819732072145","10.0","5.502385094109967","0.9199976744117679","5.915079803699027","0.03865993145239214","-0.22867657974643352","1.352640218437099"
"0.655","0.47148819732072145","10.0","5.489833455699819","0.9199976744117679","5.920805159467701","0.03865993145239214","-0.22889792160799102","1.3552599952480266"
"0.656","0.47148819732072145","10.0","5.4772696889704315","0.9199976744117679","5.926516625291368","0.03865993145239214","-0.2291187264852267","1.3578759416802817"
"0.657","0.47148819732072145","10.0","5.464693823405995","0.9199976744117679","5.93221418859679","0.03865993145239214","-0.22933899389205994","1.3604880335649905"
"0.658","0.47148819732072145","10.0","5.452105888517774","0.9199976744117679","5.937897836843724","0.03865993145239214","-0.2295587233436859","1.3630962467710794"
